pair_id,task_name,schema_id,batch_id,prev_score_pct,curr_score_pct,delta_pp,bucket,prev_classification,curr_classification,prev_selected_round,curr_selected_round,curr_final_status,curr_final_validity,curr_final_issue_codes,curr_selected_reason
earthquake-plate-calculation__methodology-guardrail,earthquake-plate-calculation,methodology-guardrail,b04,100.0,100.0,0.0,unchanged,clean_success,clean_success,R2,R0,skipped_baseline_perfect,valid_intentional_skip,baseline_perfect_skip,positive_reward_with_no_exception_stats
earthquake-plate-calculation__orchestration-delegation,earthquake-plate-calculation,orchestration-delegation,b04,0.0,100.0,100.0,improved,scientific_failure,clean_success,R0,R0,skipped_baseline_perfect,valid_intentional_skip,baseline_perfect_skip,positive_reward_with_no_exception_stats
econ-detrending-correlation__artifact-generation,econ-detrending-correlation,artifact-generation,b05,100.0,0.0,-100.0,regressed,clean_success,scientific_failure,R1,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
econ-detrending-correlation__analytic-pipeline,econ-detrending-correlation,analytic-pipeline,b05,0.0,100.0,100.0,improved,scientific_failure,clean_success,R0,R1,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
econ-detrending-correlation__engineering-composition,econ-detrending-correlation,engineering-composition,b05,100.0,100.0,0.0,unchanged,clean_success,clean_success,R1,R0,skipped_baseline_perfect,valid_intentional_skip,baseline_perfect_skip,positive_reward_with_no_exception_stats
econ-detrending-correlation__retrieval-heavy-synthesis,econ-detrending-correlation,retrieval-heavy-synthesis,b05,100.0,100.0,0.0,unchanged,clean_success,clean_success,R1,R1,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
econ-detrending-correlation__environment-control,econ-detrending-correlation,environment-control,b05,100.0,100.0,0.0,unchanged,clean_success,clean_success,R2,R1,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
econ-detrending-correlation__methodology-guardrail,econ-detrending-correlation,methodology-guardrail,b05,100.0,100.0,0.0,unchanged,clean_success,clean_success,R2,R1,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
econ-detrending-correlation__orchestration-delegation,econ-detrending-correlation,orchestration-delegation,b05,100.0,100.0,0.0,unchanged,clean_success,clean_success,R3,R1,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
energy-ac-optimal-power-flow__artifact-generation,energy-ac-optimal-power-flow,artifact-generation,b01,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
energy-ac-optimal-power-flow__analytic-pipeline,energy-ac-optimal-power-flow,analytic-pipeline,b01,100.0,0.0,-100.0,regressed,clean_success,scientific_failure,R1,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
energy-ac-optimal-power-flow__engineering-composition,energy-ac-optimal-power-flow,engineering-composition,b01,100.0,100.0,0.0,unchanged,clean_success,clean_success,R1,R3,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
energy-ac-optimal-power-flow__retrieval-heavy-synthesis,energy-ac-optimal-power-flow,retrieval-heavy-synthesis,b01,100.0,0.0,-100.0,regressed,clean_success,scientific_failure,R3,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
energy-ac-optimal-power-flow__environment-control,energy-ac-optimal-power-flow,environment-control,b01,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
energy-ac-optimal-power-flow__methodology-guardrail,energy-ac-optimal-power-flow,methodology-guardrail,b01,100.0,100.0,0.0,unchanged,clean_success,clean_success,R3,R2,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
energy-ac-optimal-power-flow__orchestration-delegation,energy-ac-optimal-power-flow,orchestration-delegation,b01,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
energy-market-pricing__artifact-generation,energy-market-pricing,artifact-generation,b02,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
energy-market-pricing__analytic-pipeline,energy-market-pricing,analytic-pipeline,b02,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
energy-market-pricing__engineering-composition,energy-market-pricing,engineering-composition,b02,100.0,100.0,0.0,unchanged,clean_success,clean_success,R2,R1,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
energy-market-pricing__retrieval-heavy-synthesis,energy-market-pricing,retrieval-heavy-synthesis,b02,100.0,100.0,0.0,unchanged,clean_success,clean_success,R1,R1,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
energy-market-pricing__environment-control,energy-market-pricing,environment-control,b02,100.0,100.0,0.0,unchanged,clean_success,clean_success,R3,R2,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
energy-market-pricing__methodology-guardrail,energy-market-pricing,methodology-guardrail,b02,0.0,100.0,100.0,improved,scientific_failure,clean_success,R0,R2,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
energy-market-pricing__orchestration-delegation,energy-market-pricing,orchestration-delegation,b02,0.0,100.0,100.0,improved,scientific_failure,clean_success,R0,R1,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
exceltable-in-ppt__artifact-generation,exceltable-in-ppt,artifact-generation,b02,100.0,100.0,0.0,unchanged,clean_success,clean_success,R1,R0,skipped_baseline_perfect,valid_intentional_skip,baseline_perfect_skip,positive_reward_with_no_exception_stats
exceltable-in-ppt__analytic-pipeline,exceltable-in-ppt,analytic-pipeline,b02,0.0,100.0,100.0,improved,scientific_failure,clean_success,R0,R0,skipped_baseline_perfect,valid_intentional_skip,baseline_perfect_skip,positive_reward_with_no_exception_stats
exceltable-in-ppt__engineering-composition,exceltable-in-ppt,engineering-composition,b02,0.0,100.0,100.0,improved,scientific_failure,clean_success,R0,R1,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
exceltable-in-ppt__retrieval-heavy-synthesis,exceltable-in-ppt,retrieval-heavy-synthesis,b02,0.0,100.0,100.0,improved,scientific_failure,clean_success,R0,R1,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
exceltable-in-ppt__environment-control,exceltable-in-ppt,environment-control,b02,100.0,100.0,0.0,unchanged,clean_success,clean_success,R2,R1,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
exceltable-in-ppt__methodology-guardrail,exceltable-in-ppt,methodology-guardrail,b02,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
exceltable-in-ppt__orchestration-delegation,exceltable-in-ppt,orchestration-delegation,b02,100.0,100.0,0.0,unchanged,clean_success,clean_success,R1,R1,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
exoplanet-detection-period__artifact-generation,exoplanet-detection-period,artifact-generation,b03,0.0,100.0,100.0,improved,scientific_failure,clean_success,R0,R2,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
exoplanet-detection-period__analytic-pipeline,exoplanet-detection-period,analytic-pipeline,b03,0.0,100.0,100.0,improved,scientific_failure,clean_success,R0,R1,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
exoplanet-detection-period__engineering-composition,exoplanet-detection-period,engineering-composition,b03,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
exoplanet-detection-period__retrieval-heavy-synthesis,exoplanet-detection-period,retrieval-heavy-synthesis,b03,0.0,100.0,100.0,improved,scientific_failure,clean_success,R0,R3,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
exoplanet-detection-period__environment-control,exoplanet-detection-period,environment-control,b03,0.0,100.0,100.0,improved,scientific_failure,clean_success,R0,R1,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
exoplanet-detection-period__methodology-guardrail,exoplanet-detection-period,methodology-guardrail,b03,100.0,100.0,0.0,unchanged,clean_success,clean_success,R2,R1,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
exoplanet-detection-period__orchestration-delegation,exoplanet-detection-period,orchestration-delegation,b03,0.0,100.0,100.0,improved,scientific_failure,clean_success,R0,R3,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
financial-modeling-qa__artifact-generation,financial-modeling-qa,artifact-generation,b04,100.0,0.0,-100.0,regressed,clean_success,scientific_failure,R1,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
financial-modeling-qa__analytic-pipeline,financial-modeling-qa,analytic-pipeline,b04,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
financial-modeling-qa__engineering-composition,financial-modeling-qa,engineering-composition,b04,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
financial-modeling-qa__retrieval-heavy-synthesis,financial-modeling-qa,retrieval-heavy-synthesis,b04,100.0,0.0,-100.0,regressed,clean_success,scientific_failure,R3,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
financial-modeling-qa__environment-control,financial-modeling-qa,environment-control,b04,100.0,0.0,-100.0,regressed,clean_success,scientific_failure,R2,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
financial-modeling-qa__methodology-guardrail,financial-modeling-qa,methodology-guardrail,b04,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
financial-modeling-qa__orchestration-delegation,financial-modeling-qa,orchestration-delegation,b04,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
find-topk-similiar-chemicals__artifact-generation,find-topk-similiar-chemicals,artifact-generation,b05,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
find-topk-similiar-chemicals__analytic-pipeline,find-topk-similiar-chemicals,analytic-pipeline,b05,0.0,50.0,50.0,improved,scientific_failure,clean_success,R0,R1,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
find-topk-similiar-chemicals__engineering-composition,find-topk-similiar-chemicals,engineering-composition,b05,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
find-topk-similiar-chemicals__retrieval-heavy-synthesis,find-topk-similiar-chemicals,retrieval-heavy-synthesis,b05,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
find-topk-similiar-chemicals__environment-control,find-topk-similiar-chemicals,environment-control,b05,100.0,0.0,-100.0,regressed,clean_success,scientific_failure,R1,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
find-topk-similiar-chemicals__methodology-guardrail,find-topk-similiar-chemicals,methodology-guardrail,b05,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
find-topk-similiar-chemicals__orchestration-delegation,find-topk-similiar-chemicals,orchestration-delegation,b05,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
fix-build-agentops__artifact-generation,fix-build-agentops,artifact-generation,b05,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
fix-build-agentops__analytic-pipeline,fix-build-agentops,analytic-pipeline,b05,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
fix-build-agentops__engineering-composition,fix-build-agentops,engineering-composition,b05,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
fix-build-agentops__retrieval-heavy-synthesis,fix-build-agentops,retrieval-heavy-synthesis,b05,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
fix-build-agentops__environment-control,fix-build-agentops,environment-control,b05,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
fix-build-agentops__methodology-guardrail,fix-build-agentops,methodology-guardrail,b05,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
fix-build-agentops__orchestration-delegation,fix-build-agentops,orchestration-delegation,b05,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
fix-build-google-auto__artifact-generation,fix-build-google-auto,artifact-generation,b02,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
fix-build-google-auto__analytic-pipeline,fix-build-google-auto,analytic-pipeline,b02,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
fix-build-google-auto__engineering-composition,fix-build-google-auto,engineering-composition,b02,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
fix-build-google-auto__retrieval-heavy-synthesis,fix-build-google-auto,retrieval-heavy-synthesis,b02,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
fix-build-google-auto__environment-control,fix-build-google-auto,environment-control,b02,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
fix-build-google-auto__methodology-guardrail,fix-build-google-auto,methodology-guardrail,b02,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
fix-build-google-auto__orchestration-delegation,fix-build-google-auto,orchestration-delegation,b02,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
fix-druid-loophole-cve__artifact-generation,fix-druid-loophole-cve,artifact-generation,b03,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
fix-druid-loophole-cve__analytic-pipeline,fix-druid-loophole-cve,analytic-pipeline,b03,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
fix-druid-loophole-cve__engineering-composition,fix-druid-loophole-cve,engineering-composition,b03,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
fix-druid-loophole-cve__retrieval-heavy-synthesis,fix-druid-loophole-cve,retrieval-heavy-synthesis,b03,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
fix-druid-loophole-cve__environment-control,fix-druid-loophole-cve,environment-control,b03,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
fix-druid-loophole-cve__methodology-guardrail,fix-druid-loophole-cve,methodology-guardrail,b03,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
fix-druid-loophole-cve__orchestration-delegation,fix-druid-loophole-cve,orchestration-delegation,b03,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
