task_name,schema_id,assignment_role,assignment_reasons,primary_assigned_category,primary_assignment,assignment_score_pct,reported_score_pct,best_task_assignment_score_pct,within_best_margin_pp,delta_vs_r0_post_best_pp,delta_vs_r0_final_pp,trajectory_quality,trajectory_signal_score_pct,post_r0_improved_round_count,post_r0_improvement_area_score_pct,post_r0_improved_round_fraction_score_pct,post_r0_terminal_improvement_score_pct,trajectory_non_decreasing_all_rounds,trajectory_post_r0_delta_non_decreasing,trajectory_post_r0_all_ge_r0,trajectory_ideal_zero_to_full_stable,evidence_class,latest_status
adaptive-cruise-control,engineering-composition,primary_assignment,primary;near_best;high_score;stable_gain;ideal_zero_to_full,engineering-composition,True,100.0,100.0,100.0,0.0,100.0,100.0,ideal_zero_to_full_stable,100.0,3,100.0,100.0,100.0,True,True,True,True,measured,completed
civ6-adjacency-optimizer,orchestration-delegation,primary_assignment,primary;near_best,orchestration-delegation,True,39.9167,60.0,39.9167,0.0,60.0,0.0,partial_gain_then_regression,45.0,2,38.3333,66.6667,0.0,False,False,True,False,measured,completed
court-form-filling,analytic-pipeline,primary_assignment,primary;near_best;stable_gain,analytic-pipeline,True,60.0,100.0,60.0,0.0,100.0,100.0,stable_non_decreasing_gain,100.0,1,33.3333,33.3333,100.0,True,True,True,False,measured,completed
dapt-intrusion-detection,analytic-pipeline,primary_assignment,primary;near_best;high_score;stable_gain;ideal_zero_to_full,analytic-pipeline,True,100.0,100.0,100.0,0.0,100.0,100.0,ideal_zero_to_full_stable,100.0,3,100.0,100.0,100.0,True,True,True,True,measured,completed
dapt-intrusion-detection,methodology-guardrail,stable_gain_support,stable_gain,analytic-pipeline,False,60.0,100.0,100.0,40.0,100.0,100.0,stable_non_decreasing_gain,100.0,1,33.3333,33.3333,100.0,True,True,True,False,measured,completed
data-to-d3,engineering-composition,stable_gain_support,high_score;stable_gain,orchestration-delegation,False,80.0,100.0,100.0,20.0,100.0,100.0,stable_non_decreasing_gain,100.0,2,66.6667,66.6667,100.0,True,True,True,False,measured,completed
data-to-d3,methodology-guardrail,stable_gain_support,stable_gain,orchestration-delegation,False,60.0,100.0,100.0,40.0,100.0,100.0,stable_non_decreasing_gain,100.0,1,33.3333,33.3333,100.0,True,True,True,False,measured,completed
data-to-d3,orchestration-delegation,primary_assignment,primary;near_best;high_score;stable_gain;ideal_zero_to_full,orchestration-delegation,True,100.0,100.0,100.0,0.0,100.0,100.0,ideal_zero_to_full_stable,100.0,3,100.0,100.0,100.0,True,True,True,True,measured,completed
earthquake-phase-association,analytic-pipeline,primary_assignment,primary;near_best;high_score;stable_gain;ideal_zero_to_full,analytic-pipeline,True,100.0,100.0,100.0,0.0,100.0,100.0,ideal_zero_to_full_stable,100.0,3,100.0,100.0,100.0,True,True,True,True,measured,completed
earthquake-phase-association,artifact-generation,stable_gain_support,high_score;stable_gain,analytic-pipeline,False,80.0,100.0,100.0,20.0,100.0,100.0,stable_non_decreasing_gain,100.0,2,66.6667,66.6667,100.0,True,True,True,False,measured,completed
earthquake-phase-association,retrieval-heavy-synthesis,stable_gain_support,stable_gain,analytic-pipeline,False,60.0,100.0,100.0,40.0,100.0,100.0,stable_non_decreasing_gain,100.0,1,33.3333,33.3333,100.0,True,True,True,False,measured,completed
earthquake-plate-calculation,artifact-generation,primary_assignment,primary;near_best;stable_gain,artifact-generation,True,60.0,100.0,60.0,0.0,100.0,100.0,stable_non_decreasing_gain,100.0,1,33.3333,33.3333,100.0,True,True,True,False,measured,completed
econ-detrending-correlation,environment-control,primary_assignment,primary;near_best;high_score;stable_gain,environment-control,True,80.0,100.0,80.0,0.0,100.0,100.0,stable_non_decreasing_gain,100.0,2,66.6667,66.6667,100.0,True,True,True,False,measured,completed
econ-detrending-correlation,orchestration-delegation,stable_gain_support,stable_gain,environment-control,False,60.0,100.0,80.0,20.0,100.0,100.0,stable_non_decreasing_gain,100.0,1,33.3333,33.3333,100.0,True,True,True,False,measured,completed
energy-ac-optimal-power-flow,engineering-composition,primary_assignment,primary;near_best;high_score;stable_gain;ideal_zero_to_full,engineering-composition,True,100.0,100.0,100.0,0.0,100.0,100.0,ideal_zero_to_full_stable,100.0,3,100.0,100.0,100.0,True,True,True,True,measured,completed
energy-ac-optimal-power-flow,methodology-guardrail,stable_gain_support,stable_gain,engineering-composition,False,60.0,100.0,100.0,40.0,100.0,100.0,stable_non_decreasing_gain,100.0,1,33.3333,33.3333,100.0,True,True,True,False,measured,completed
energy-ac-optimal-power-flow,retrieval-heavy-synthesis,stable_gain_support,stable_gain,engineering-composition,False,60.0,100.0,100.0,40.0,100.0,100.0,stable_non_decreasing_gain,100.0,1,33.3333,33.3333,100.0,True,True,True,False,measured,completed
energy-market-pricing,environment-control,stable_gain_support,stable_gain,retrieval-heavy-synthesis,False,60.0,100.0,72.5,12.5,100.0,100.0,stable_non_decreasing_gain,100.0,1,33.3333,33.3333,100.0,True,True,True,False,measured,completed
energy-market-pricing,retrieval-heavy-synthesis,primary_assignment,primary;near_best,retrieval-heavy-synthesis,True,72.5,100.0,72.5,0.0,100.0,100.0,stable_no_loss_gain,70.0,2,66.6667,66.6667,100.0,False,False,True,False,measured,completed
exceltable-in-ppt,artifact-generation,primary_assignment,primary;near_best;high_score;stable_gain;ideal_zero_to_full,artifact-generation,True,100.0,100.0,100.0,0.0,100.0,100.0,ideal_zero_to_full_stable,100.0,3,100.0,100.0,100.0,True,True,True,True,measured,completed
exoplanet-detection-period,methodology-guardrail,primary_assignment,primary;near_best;high_score;stable_gain,methodology-guardrail,True,80.0,100.0,80.0,0.0,100.0,100.0,stable_non_decreasing_gain,100.0,2,66.6667,66.6667,100.0,True,True,True,False,measured,completed
financial-modeling-qa,retrieval-heavy-synthesis,primary_assignment,primary;near_best;stable_gain,retrieval-heavy-synthesis,True,60.0,100.0,60.0,0.0,100.0,100.0,stable_non_decreasing_gain,100.0,1,33.3333,33.3333,100.0,True,True,True,False,measured,completed
find-topk-similiar-chemicals,environment-control,primary_assignment,primary;near_best,environment-control,True,31.25,100.0,31.25,0.0,100.0,0.0,partial_gain_then_regression,45.0,1,33.3333,33.3333,0.0,False,False,True,False,measured,completed
